"Id","Inc","Capital","Hours","Age","Employer","Education","Marital_Status","Occupation"
1,"High",0,42,55,"Private","Bach","Married","Trades"
2,"Low",0,5,82,"Private","Master","Never Married","Admin"
3,"Low",0,33,26,"Private","Min","Never Married","Agricultural"
4,"Low",0,12,79,"Private","High School","Married","Admin"
5,"Low",0,56,19,"Private","High School","Married","Trades"
6,"Low",0,8,79,"Private","Min","Married","Trades"
7,"High",0,40,35,"Govt","High School","Never Married","Admin"
8,"High",0,52,38,"Private","High School","Married","Admin"
10,"High",0,40,33,"Private","Bach","Married","Agricultural"
11,"Low",0,19,45,"Private","Bach","Never Married","Management"
12,"Low",0,49,21,"Self-Emp","Bach","Married","Management"
13,"High",0,34,53,"Private","Bach","Married","Agricultural"
14,"High",4949,57,35,"Private","Bach","Widowed","Specialist"
15,"High",0,65,21,"Private","Bach","Married","Agricultural"
16,"Low",0,14,77,"Private","High School","Never Married","Trades"
17,"Low",0,43,23,"Private","Bach","Never Married","Trades"
18,"Low",0,18,77,"Private","Min","Divorced","Specialist"
19,"High",0,64,25,"Private","Bach","Never Married","Trades"
20,"High",0,32,69,"Private","High School","Married","Specialist"
21,"Low",0,16,72,"Private","Bach","Never Married","Trades"
23,"Low",0,15,73,"Self-Emp","Bach","Never Married","Specialist"
24,"Low",0,22,68,"Govt","High School","Divorced","Agricultural"
25,"High",0,60,36,"Private","Bach","Divorced","Admin"
26,"Low",0,33,20,"Private","Min","Never Married","Management"
27,"High",0,57,47,"Private","Bach","Never Married","Management"
28,"High",0,32,61,"Private","Bach","Never Married","Trades"
30,"Low",0,14,76,"Govt","Min","Married","Agricultural"
31,"Low",0,10,35,"Private","Bach","Married","Trades"
32,"Low",0,40,26,"Private","Bach","Never Married","Management"
33,"Low",0,33,29,"Private","Bach","Never Married","Specialist"
34,"Low",0,20,73,"Private","Master","Never Married","Agricultural"
35,"Low",3273,8,82,"Private","High School","Married","Agricultural"
36,"Low",0,11,79,"Private","Bach","Married","Specialist"
37,"High",0,30,42,"Private","Bach","Never Married","Agricultural"
40,"Low",0,57,21,"Govt","Bach","Divorced","Admin"
42,"High",0,60,39,"Private","High School","Married","Agricultural"
43,"Low",0,0,85,"Private","High School","Married","Trades"
44,"High",1922,35,47,"Private","High School","Never Married","Trades"
45,"Low",0,2,84,"Private","High School","Married","Admin"
47,"High",2945,27,69,"Private","Bach","Never Married","Admin"
48,"Low",0,42,22,"Private","High School","Married","Trades"
49,"Low",0,3,83,"Private","Bach","Married","Trades"
50,"High",4264,23,50,"Private","Bach","Married","Trades"
51,"Low",0,9,78,"Govt","Bach","Divorced","Admin"
52,"Low",0,23,75,"Self-Emp","Bach","Married","Management"
53,"High",0,42,59,"Private","Master","Divorced","Trades"
54,"Low",0,34,18,"Private","Min","Married","Management"
55,"High",0,66,33,"Private","Bach","Married","Agricultural"
56,"Low",0,49,20,"Private","High School","Never Married","Management"
57,"Low",0,32,26,"Govt","Master","Never Married","Admin"
58,"Low",0,8,81,"Private","Bach","Divorced","Management"
59,"High",0,42,36,"Private","Bach","Never Married","Trades"
60,"Low",0,26,72,"Other","Bach","Married","Management"
61,"Low",0,40,21,"Govt","High School","Never Married","Admin"
62,"Low",0,32,27,"Private","Master","Married","Agricultural"
63,"High",0,38,38,"Govt","High School","Married","Agricultural"
64,"Low",0,21,72,"Private","Bach","Married","Management"
65,"High",0,58,49,"Private","Bach","Widowed","Agricultural"
66,"Low",0,20,63,"Govt","Bach","Married","Trades"
68,"Low",0,34,23,"Govt","Min","Never Married","Management"
69,"Low",0,41,22,"Self-Emp","Master","Married","Agricultural"
70,"High",0,51,48,"Govt","Bach","Divorced","Agricultural"
71,"Low",0,9,79,"Govt","Bach","Married","Agricultural"
72,"High",0,39,43,"Private","High School","Never Married","Trades"
73,"High",0,53,64,"Private","Min","Married","Trades"
74,"High",0,37,63,"Private","Min","Married","Admin"
75,"Low",0,18,73,"Self-Emp","Master","Never Married","Management"
76,"High",0,52,32,"Private","High School","Married","Agricultural"
77,"Low",0,45,25,"Self-Emp","High School","Married","Trades"
78,"Low",0,37,29,"Private","Master","Married","Admin"
79,"Low",0,20,48,"Private","Bach","Divorced","Management"
80,"High",0,33,59,"Private","High School","Never Married","Admin"
82,"High",0,30,57,"Private","Min","Married","Trades"
83,"High",0,53,49,"Private","High School","Married","Specialist"
84,"Low",0,25,66,"Private","Min","Married","Agricultural"
85,"Low",0,23,52,"Self-Emp","Bach","Divorced","Specialist"
86,"High",0,50,64,"Private","Min","Never Married","Management"
87,"High",0,53,63,"Private","High School","Never Married","Trades"
88,"High",0,32,62,"Private","Bach","Never Married","Management"
90,"High",0,53,32,"Private","High School","Never Married","Management"
91,"Low",0,27,34,"Private","Min","Never Married","Trades"
92,"High",0,37,57,"Private","High School","Married","Agricultural"
93,"Low",0,24,66,"Private","Min","Married","Admin"
94,"High",0,33,64,"Private","High School","Widowed","Trades"
95,"Low",0,24,42,"Private","Bach","Never Married","Trades"
96,"High",0,32,55,"Private","High School","Married","Management"
97,"Low",0,34,32,"Self-Emp","High School","Never Married","Specialist"
98,"Low",0,12,72,"Private","Bach","Never Married","Agricultural"
100,"High",0,61,43,"Private","High School","Never Married","Admin"
101,"Low",0,8,72,"Govt","Bach","Married","Trades"
102,"High",0,48,59,"Private","Min","Married","Admin"
103,"Low",0,8,78,"Private","High School","Never Married","Trades"
104,"Low",0,25,37,"Private","Bach","Married","Management"
105,"High",0,48,42,"Private","Bach","Divorced","Admin"
106,"Low",0,36,22,"Govt","Bach","Married","Management"
107,"Low",0,3,83,"Private","Min","Married","Trades"
108,"Low",0,1,84,"Govt","High School","Married","Admin"
109,"Low",0,20,55,"Govt","High School","Married","Trades"
110,"High",0,49,55,"Private","Bach","Never Married","Admin"
111,"High",0,43,64,"Govt","Master","Married","Specialist"
112,"High",0,36,37,"Govt","Bach","Never Married","Specialist"
113,"Low",0,33,29,"Govt","High School","Divorced","Agricultural"
114,"High",0,53,47,"Private","Master","Married","Specialist"
115,"Low",0,34,35,"Govt","High School","Never Married","Trades"
116,"High",0,52,58,"Private","Bach","Married","Agricultural"
117,"High",0,39,37,"Private","Bach","Married","Admin"
118,"High",0,29,47,"Private","High School","Divorced","Specialist"
119,"High",0,48,56,"Private","High School","Divorced","Management"
120,"Low",2104,24,70,"Govt","Master","Married","Specialist"
121,"High",0,34,66,"Private","High School","Never Married","Admin"
122,"High",0,34,59,"Private","Min","Married","Agricultural"
123,"High",0,28,57,"Private","Min","Never Married","Agricultural"
124,"Low",0,20,77,"Govt","High School","Married","Management"
125,"High",1180,45,33,"Private","Min","Never Married","Management"
126,"Low",0,16,73,"Private","Bach","Married","Management"
127,"High",1569,44,55,"Govt","Bach","Never Married","Agricultural"
128,"Low",0,19,66,"Private","Bach","Never Married","Trades"
129,"Low",0,25,51,"Private","Bach","Married","Management"
131,"High",1595,35,32,"Private","Bach","Never Married","Agricultural"
132,"Low",0,13,78,"Self-Emp","Bach","Widowed","Management"
133,"Low",0,13,78,"Private","Bach","Married","Agricultural"
136,"High",0,53,39,"Private","High School","Married","Admin"
137,"High",0,27,45,"Govt","Bach","Married","Management"
138,"Low",0,20,69,"Govt","Bach","Divorced","Agricultural"
139,"Low",0,21,61,"Private","Bach","Never Married","Management"
140,"Low",0,35,25,"Self-Emp","Min","Never Married","Trades"
141,"Low",4250,13,73,"Private","Bach","Married","Admin"
143,"High",0,44,35,"Private","Bach","Married","Agricultural"
144,"Low",0,32,36,"Private","High School","Never Married","Agricultural"
145,"High",0,61,23,"Private","High School","Married","Admin"
147,"Low",0,11,73,"Private","High School","Never Married","Agricultural"
148,"Low",0,30,29,"Govt","Bach","Never Married","Management"
149,"High",3293,39,45,"Private","Bach","Never Married","Management"
150,"High",0,32,56,"Private","High School","Married","Admin"
151,"Low",0,7,78,"Self-Emp","Min","Married","Agricultural"
152,"Low",3374,36,23,"Private","Min","Never Married","Management"
153,"Low",0,53,21,"Other","Master","Divorced","Admin"
154,"High",0,37,47,"Private","Bach","Never Married","Agricultural"
155,"Low",0,5,80,"Private","High School","Married","Agricultural"
156,"High",0,44,45,"Private","High School","Married","Management"
157,"Low",0,23,58,"Private","High School","Married","Management"
158,"Low",0,31,36,"Private","Master","Never Married","Agricultural"
159,"Low",0,16,74,"Private","Bach","Married","Agricultural"
160,"Low",0,26,26,"Private","Bach","Never Married","Agricultural"
161,"Low",0,20,37,"Private","Min","Married","Specialist"
162,"High",1389,41,36,"Private","Bach","Married","Specialist"
163,"High",1310,61,41,"Private","Master","Divorced","Management"
164,"Low",0,43,25,"Private","Bach","Married","Trades"
165,"Low",0,32,22,"Self-Emp","Bach","Married","Agricultural"
166,"High",0,36,47,"Private","Min","Never Married","Management"
167,"High",0,39,57,"Govt","Min","Divorced","Agricultural"
168,"Low",0,13,73,"Private","Master","Divorced","Agricultural"
169,"Low",0,8,81,"Private","Bach","Divorced","Agricultural"
170,"High",0,36,56,"Govt","High School","Married","Specialist"
171,"Low",0,56,23,"Private","Min","Never Married","Management"
172,"Low",0,38,22,"Self-Emp","High School","Married","Agricultural"
173,"Low",0,10,80,"Private","Bach","Divorced","Specialist"
174,"High",0,35,40,"Govt","Bach","Married","Admin"
175,"Low",0,44,28,"Private","High School","Married","Agricultural"
176,"High",0,63,37,"Private","Bach","Never Married","Agricultural"
177,"Low",0,40,22,"Private","Min","Never Married","Specialist"
178,"High",0,50,39,"Private","Bach","Married","Agricultural"
179,"High",1914,51,56,"Govt","High School","Married","Agricultural"
180,"High",0,32,67,"Private","High School","Divorced","Trades"
181,"High",0,52,53,"Private","Bach","Married","Management"
182,"Low",0,18,74,"Self-Emp","High School","Married","Specialist"
183,"Low",0,17,74,"Private","High School","Never Married","Management"
184,"High",3968,48,60,"Private","Bach","Never Married","Management"
185,"High",0,34,37,"Private","High School","Married","Agricultural"
186,"High",0,42,54,"Private","Master","Married","Admin"
187,"High",0,59,52,"Private","High School","Never Married","Admin"
188,"Low",0,5,83,"Private","Bach","Married","Management"
189,"Low",0,0,85,"Govt","Bach","Never Married","Agricultural"
190,"High",1187,33,61,"Govt","Min","Married","Management"
191,"Low",0,35,25,"Govt","Min","Never Married","Agricultural"
192,"High",0,65,45,"Private","High School","Never Married","Trades"
193,"Low",2087,15,74,"Private","Bach","Never Married","Agricultural"
194,"High",6599,45,58,"Govt","High School","Divorced","Specialist"
195,"High",0,44,39,"Private","High School","Married","Management"
196,"High",0,53,47,"Private","Bach","Married","Agricultural"
197,"High",0,46,50,"Private","Bach","Never Married","Specialist"
198,"Low",0,17,21,"Private","Bach","Never Married","Management"
199,"Low",0,40,30,"Private","Min","Married","Admin"
200,"High",0,43,35,"Govt","Bach","Divorced","Specialist"
201,"Low",0,6,81,"Private","Min","Married","Management"
202,"Low",0,10,76,"Private","High School","Married","Admin"
203,"High",0,42,44,"Private","High School","Married","Agricultural"
204,"High",0,43,40,"Private","Bach","Divorced","Specialist"
205,"High",0,45,33,"Private","Bach","Married","Specialist"
206,"High",0,68,22,"Private","High School","Married","Management"
207,"Low",0,22,41,"Private","Master","Married","Management"
208,"High",0,58,24,"Private","Bach","Divorced","Management"
209,"High",0,49,40,"Private","Master","Never Married","Admin"
210,"High",0,40,34,"Private","High School","Married","Specialist"
211,"Low",0,28,21,"Private","Bach","Never Married","Admin"
212,"Low",0,0,85,"Private","High School","Never Married","Agricultural"
213,"Low",0,8,79,"Private","Bach","Never Married","Trades"
215,"High",0,64,28,"Private","Bach","Divorced","Agricultural"
216,"High",0,58,46,"Private","High School","Never Married","Agricultural"
217,"Low",0,28,69,"Private","Bach","Married","Agricultural"
218,"High",814,55,48,"Private","High School","Married","Specialist"
219,"High",0,39,47,"Private","High School","Married","Admin"
220,"High",777,34,34,"Private","Bach","Never Married","Admin"
221,"High",0,33,53,"Private","Bach","Divorced","Admin"
222,"High",0,31,56,"Private","Bach","Divorced","Admin"
223,"High",0,43,61,"Private","Bach","Never Married","Admin"
224,"Low",0,13,30,"Private","High School","Married","Admin"
225,"High",0,41,48,"Govt","High School","Never Married","Specialist"
226,"High",0,36,66,"Private","High School","Divorced","Management"
227,"Low",0,17,72,"Private","Min","Married","Specialist"
228,"High",2781,45,45,"Govt","Bach","Never Married","Agricultural"
229,"Low",0,47,19,"Govt","Bach","Never Married","Management"
230,"Low",976,20,70,"Private","Min","Never Married","Trades"
232,"High",0,36,65,"Private","Bach","Married","Specialist"
233,"Low",0,16,66,"Private","Bach","Married","Trades"
235,"Low",1780,22,65,"Private","High School","Married","Trades"
236,"High",0,31,68,"Govt","Bach","Married","Agricultural"
237,"High",0,59,38,"Private","Bach","Married","Trades"
238,"High",0,31,67,"Private","High School","Never Married","Specialist"
239,"Low",0,0,85,"Self-Emp","High School","Married","Management"
240,"High",0,42,43,"Private","Bach","Never Married","Trades"
242,"High",0,29,60,"Private","High School","Married","Specialist"
243,"Low",0,62,21,"Private","High School","Divorced","Agricultural"
244,"Low",0,23,41,"Self-Emp","High School","Never Married","Admin"
245,"Low",0,7,79,"Private","High School","Married","Management"
